Municipality,ST,2024 estimate,2020 census,2020 land area mi2,2020 density mi2,Type,lat,long
New York,NY,8478072,8804190,300.5,29298,State's largest municipality,40.66,-73.94
Los Angeles,CA,3878704,3898747,469.5,8304,State's largest municipality,34.02,-118.41
Chicago,IL,2721308,2746388,227.7,12061,State's largest municipality,41.84,-87.68
Houston,TX,2390125,2304580,640.4,3599,State's largest municipality,29.79,-95.39
Phoenix,AZ,1673164,1608139,518,3105,State capital and largest municipality,33.57,-112.09
Philadelphia,PA,1573916,1603797,134.4,11933,State's largest municipality,40.01,-75.13
San Antonio,TX,1526656,1434625,498.8,2876,State's second largest municipality,29.46,-98.52
San Diego,CA,1404452,1386932,325.9,4256,State's second largest municipality,32.81,-117.14
Dallas,TX,1326087,1304379,339.6,3841,City,32.79,-96.77
Jacksonville,FL,1009833,949611,747.3,1271,State's largest municipality,30.34,-81.66
Fort Worth,TX,1008106,918915,347.3,2646,City,32.78,-97.35
San Jose,CA,997368,1013240,178.3,5683,City,37.3,-121.81
Austin,TX,993588,961855,319.9,3007,State capital,30.3,-97.75
Charlotte,NC,943476,874579,308.3,2837,State's largest municipality,35.21,-80.83
Columbus,OH,933263,905748,220,4117,State capital and largest municipality,39.99,-82.99
Indianapolis,IN,891484,887642,361.6,2455,State capital and largest municipality,39.78,-86.15
San Francisco,CA,827526,873965,46.9,18635,City,37.73,-123.03
Seattle,WA,780995,737015,83.8,8795,State's largest municipality,47.62,-122.35
Denver,CO,729019,715522,153.1,4674,State capital and largest municipality,39.76,-104.88
Oklahoma City,OK,712919,681054,606.2,1123,State capital and largest municipality,35.47,-97.51
Nashville,TN,704963,689447,475.8,1449,State capital and largest municipality,36.17,-86.79
Washington,DC,702250,689545,61.1,11286,Federal capital,38.9,-77.02
El Paso,TX,681723,678815,258.4,2627,City,31.85,-106.43
Las Vegas,NV,678922,641903,141.8,4527,State's largest municipality,36.23,-115.26
Boston,MA,673458,675647,48.3,13989,State capital and largest municipality,42.34,-71.02
Detroit,MI,645705,639111,138.7,4608,State's largest municipality,42.38,-83.1
Louisville,KY,640796,633045,324.9,1948,State's largest municipality,38.17,-85.65
Portland,OR,635749,652503,133.5,4888,State's largest municipality,45.54,-122.65
Memphis,TN,610919,633104,297,2132,City,35.11,-89.97
Baltimore,MD,568271,585708,80.9,7240,State's largest municipality,39.3,-76.61
Milwaukee,WI,563531,577222,96.2,6000,State's largest municipality,43.06,-87.97
Albuquerque,NM,560326,564559,187.3,3014,State's largest municipality,35.1,-106.65
Tucson,AZ,554013,542629,241,2252,State's second largest municipality,32.15,-110.87
Fresno,CA,550105,542107,115.2,4706,City,36.78,-119.79
Sacramento,CA,535798,524943,98.6,5324,State capital,38.57,-121.47
Atlanta,GA,520070,498715,135.3,3686,State capital and largest municipality,33.76,-84.42
Mesa,AZ,517151,504258,138.7,3636,City,33.4,-111.72
Kansas City,MO,516032,508090,314.7,1615,State's largest municipality,39.12,-94.56
Raleigh,NC,499825,467665,147.1,3179,State capital,35.83,-78.64
Colorado Springs,CO,493554,478961,195.4,2451,City,38.87,-104.76
Omaha,NE,489265,486051,141.6,3433,State's largest municipality,41.26,-96.05
Miami,FL,487014,442241,36,12284,City,25.78,-80.21
Virginia Beach,VA,454808,459470,244.7,1878,State's largest municipality,36.78,-76.03
Long Beach,CA,450901,466742,50.7,9206,City,33.78,-118.17
Oakland,CA,443554,440646,55.9,7883,City,37.77,-122.23
Minneapolis,MN,428579,429954,54,7962,State's largest municipality,44.96,-93.27
Bakersfield,CA,417468,403455,149.8,2693,City,35.35,-119.04
Tulsa,OK,415154,413066,197.5,2091,City,36.13,-95.9
Tampa,FL,414547,384959,114,3377,City,27.97,-82.47
Arlington,TX,403672,394266,95.9,4111,City,32.7,-97.12
Aurora,CO,403130,386261,160.1,2413,City,39.7,-104.72
Wichita,KS,400991,397532,162,2454,State's largest municipality,37.69,-97.35
Cleveland,OH,365379,372624,77.7,4796,City,41.48,-81.68
New Orleans,LA,362701,383997,169.5,2265,State's largest municipality,30.05,-89.93
Henderson,NV,350039,317610,106.2,2991,City,36.01,-115.04
Honolulu,HI,344967,350964,60.5,5801,State capital and largest municipality,21.32,-157.85
Anaheim,CA,344561,346824,50.3,6895,City,33.86,-117.76
Orlando,FL,334854,307573,110.6,2781,City,28.41,-81.25
Lexington,KY,329437,322570,283.6,1137,City,38.04,-84.46
Stockton,CA,324975,320804,62.2,5158,City,37.98,-121.31
Riverside,CA,323757,314998,81.2,3879,City,33.94,-117.39
Irvine,CA,318683,307670,65.6,4690,City,33.68,-117.77
Corpus Christi,TX,317317,317863,162.2,1960,City,27.75,-97.17
Newark,NJ,317303,311549,24.1,12927,State's largest municipality,40.72,-74.17
Santa Ana,CA,316184,310227,27.3,11364,City,33.74,-117.88
Cincinnati,OH,314915,309317,77.8,3976,City,39.14,-84.51
Pittsburgh,PA,307668,302971,55.4,5469,City,40.44,-79.98
Saint Paul,MN,307465,311527,52,5991,State capital,44.95,-93.1
Greensboro,NC,307381,299035,129.6,2307,City,36.1,-79.83
Jersey City,NJ,302824,292449,14.7,19894,City,40.71,-74.06
Durham,NC,301870,283506,112.8,2513,City,35.98,-78.9
Lincoln,NE,300619,291082,97.7,2979,State capital,40.81,-96.68
North Las Vegas,NV,294034,262527,101.3,2592,City,36.28,-115.09
Plano,TX,293286,285494,71.7,3982,City,33.05,-96.75
Anchorage,AK,289600,291247,1706.8,171,State's largest municipality,61.17,-149.28
Gilbert,AZ,288790,267918,68.6,3906,City,33.31,-111.74
Madison,WI,285300,269840,79.6,3390,State capital,43.09,-89.43
Reno,NV,281714,264165,108.8,2428,City,39.55,-119.85
Chandler,AZ,281231,275987,65.3,4226,City,33.28,-111.85
St. Louis,MO,279695,301578,61.7,4888,City,38.64,-90.24
Chula Vista,CA,278546,275487,49.6,5554,City,32.63,-117.02
Buffalo,NY,276617,278349,40.4,6890,City,42.89,-78.86
Fort Wayne,IN,273203,263886,110.7,2384,State's second largest municipality,41.09,-85.14
Lubbock,TX,272086,257141,134.6,1910,City,33.57,-101.89
St. Petersburg,FL,267102,258308,61.8,4180,City,27.77,-82.64
Toledo,OH,265638,270871,80.5,3365,City,41.66,-83.58
Laredo,TX,261260,255205,106.5,2396,City,27.56,-99.49
Port St. Lucie,FL,258575,204851,119.2,1719,City,27.28,-80.39
Glendale,AZ,258143,248325,61.6,4031,City,33.53,-112.19
Irving,TX,258060,256684,67,3831,City,32.86,-96.97
Winston-Salem,NC,255769,249545,132.7,1881,City,36.1,-80.26
Chesapeake,VA,254997,249422,338.5,737,City,36.68,-76.3
Garland,TX,250431,246018,57.1,4309,City,32.91,-96.63
Scottsdale,AZ,246170,241361,184,1312,City,33.68,-111.86
Boise,ID,237963,235684,84,2806,State capital and largest municipality,43.6,-116.23
Hialeah,FL,235388,223109,21.6,10329,City,25.87,-80.3
