Name,Category,Description,lat,long,InfoURL,ImageURL
CVHS,School,My high school. I graduated in 2015,34.08280461,-117.1924438,https://www.redlandsusd.net/cvhs,"https://resources.finalsite.net/images/f_auto,q_auto,t_image_size_2/v1771523850/redlandsusdnet/qswvukenrbdxds0p9nd1/composer-citrusvalley-logo.png"
UCSB,School,I did my undergrad here! I double majored in Physics and Geography.,34.41499703,-119.8471717,https://www.ucsb.edu/,data/images/me_ucsb.jpg
UCB,School,Just wrapped up my thesis after a 4-year journey at Boulder. You can go back to my website with this link.,40.09048267,-105.2547573,https://www.colorado.edu/,Pics coming soon!
Chaffey,School,"My first steps into upper education. After graduating high school, I received reduce tuition here for playing on the intercolligiate water polo team. I graduated with the intent to transfer to a UC.",34.21725929,-117.5560625,https://www.chaffey.edu/,Pics coming soon!
Highland,Home,High School Residence,34.12205008,-117.2042366,"https://en.wikipedia.org/wiki/Highland,_California",Pics coming soon!
Goleta,Home,Undergraduate Residence,34.44066728,-119.8465347,"https://en.wikipedia.org/wiki/Goleta,_California",Pics coming soon!
Boulder,Home,Graduate School,40.01882047,-105.2740637,"https://en.wikipedia.org/wiki/Boulder,_Colorado",Pics coming soon!
San Francisco,Home,Family,37.77925388,-122.4183845,"https://en.wikipedia.org/wiki/San_Francisco_Bay_Area,_California",Pics coming soon!
Cherokee Village,Home,My Grandparent's Retirement Community and Final Resting Place.,36.32089189,-91.5380747,"https://en.wikipedia.org/wiki/Cherokee_Village,_Arkansas",Pics coming soon!
"Seattle, WA",Home,Current Residence,47.60567637,-122.3332768,https://en.wikipedia.org/wiki/Seattle,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Seattle_Downtown_Aerial%2C_July_2025_%28zoomed%29.jpg/500px-Seattle_Downtown_Aerial%2C_July_2025_%28zoomed%29.jpg
"Des Moines, IA",Road Trip,"The start of a road trip to the Black Hills National Forest. My brother and I flew into Des Moines International Airport when we were 15/12, repectively.",41.53715154,-93.660884,"https://en.wikipedia.org/wiki/Des_Moines,_Iowa",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Morning_Skyline_-_Des_Moines%2C_Iowa_-_Winter_on_the_Des_Moines_River_%2824805016620%29_%28cropped2%29.jpg/500px-Morning_Skyline_-_Des_Moines%2C_Iowa_-_Winter_on_the_Des_Moines_River_%2824805016620%29_%28cropped2%29.jpg
Hendrickson’s R.V. Haven & Campground,Road Trip,Our grand parents took us here as our first stop after Des Moine. My brother and I went cliff diving here!,42.78028694,-97.9895078,https://hendricksonsrvhaven.weebly.com/,https://hendricksonsrvhaven.weebly.com/uploads/9/4/0/4/9404791/img-3393_orig.jpg
"Badlands National Park, SD",Road Trip,Filler Space until I remember where we stopped in-between here and the bandlands,43.88272347,-102.3529369,https://en.wikipedia.org/wiki/Badlands_National_Park,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/MK00609_Badlands.jpg/500px-MK00609_Badlands.jpg
"Black Hills National Forest, SD",Road Trip,"Final Stop for road trip 1! We had arrived when several Greenpeace activists rappelled over the face of the Abraham Lincoln carving and unfurled a 65 foot by 35 foot banner to the right of Abraham Lincoln,",44.03432977,-103.8460025,https://www.nps.gov/moru/learn/news/greenpeace-demonstration-on-mount-rushmore.htm,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Needles_from_Harney_Peak.JPG/500px-Needles_from_Harney_Peak.JPG
